draw,Phenotype,logic,dose
19,Intermediate,C24_match,950
19,Intermediate,C24_ceiling,1800
19,Rapid,AUC_match,1200
19,Rapid,C24_match,700
19,Rapid,C24_ceiling,1800
20,Slow,AUC_match,550
20,Slow,C24_match,200
20,Slow,C24_ceiling,200
20,Intermediate,AUC_match,1100
20,Intermediate,C24_match,850
20,Intermediate,C24_ceiling,1800
20,Rapid,AUC_match,950
20,Rapid,C24_match,450
20,Rapid,C24_ceiling,1700
21,Slow,AUC_match,550
21,Slow,C24_match,200
21,Slow,C24_ceiling,300
21,Intermediate,AUC_match,1150
21,Intermediate,C24_match,1800
21,Intermediate,C24_ceiling,1800
21,Rapid,AUC_match,1800
21,Rapid,C24_match,1800
21,Rapid,C24_ceiling,1800
22,Slow,AUC_match,700
22,Slow,C24_match,200
22,Slow,C24_ceiling,650
22,Intermediate,AUC_match,1300
22,Intermediate,C24_match,1000
22,Intermediate,C24_ceiling,1800
22,Rapid,AUC_match,1550
22,Rapid,C24_match,1550
22,Rapid,C24_ceiling,1800
23,Slow,AUC_match,500
23,Slow,C24_match,200
23,Slow,C24_ceiling,200
23,Intermediate,AUC_match,1100
23,Intermediate,C24_match,650
23,Intermediate,C24_ceiling,1800
23,Rapid,AUC_match,1600
23,Rapid,C24_match,1800
23,Rapid,C24_ceiling,1800
24,Slow,AUC_match,700
24,Slow,C24_match,200
24,Slow,C24_ceiling,500
24,Intermediate,AUC_match,1100
24,Intermediate,C24_match,1800
24,Intermediate,C24_ceiling,1800
24,Rapid,AUC_match,1400
24,Rapid,C24_match,1800
24,Rapid,C24_ceiling,1800
25,Slow,AUC_match,600
25,Slow,C24_match,200
25,Slow,C24_ceiling,350
25,Intermediate,AUC_match,1300
25,Intermediate,C24_match,1800
25,Intermediate,C24_ceiling,1800
25,Rapid,AUC_match,1800
25,Rapid,C24_match,1800
25,Rapid,C24_ceiling,1800
26,Slow,AUC_match,750
26,Slow,C24_match,200
26,Slow,C24_ceiling,700
26,Intermediate,AUC_match,1250
26,Intermediate,C24_match,1000
26,Intermediate,C24_ceiling,1800
26,Rapid,AUC_match,1400
26,Rapid,C24_match,1250
26,Rapid,C24_ceiling,1800
27,Slow,AUC_match,650
27,Slow,C24_match,200
27,Slow,C24_ceiling,350
27,Intermediate,AUC_match,1150
27,Intermediate,C24_match,650
27,Intermediate,C24_ceiling,1800
27,Rapid,AUC_match,1750
27,Rapid,C24_match,1800
27,Rapid,C24_ceiling,1800
28,Slow,AUC_match,650
28,Slow,C24_match,200
28,Slow,C24_ceiling,350
28,Intermediate,AUC_match,1350
28,Intermediate,C24_match,1500
28,Intermediate,C24_ceiling,1800
28,Rapid,AUC_match,1800
28,Rapid,C24_match,1800
28,Rapid,C24_ceiling,1800
29,Slow,AUC_match,750
29,Slow,C24_match,200
29,Slow,C24_ceiling,700
29,Intermediate,AUC_match,1250
29,Intermediate,C24_match,950
29,Intermediate,C24_ceiling,1800
29,Rapid,AUC_match,1800
29,Rapid,C24_match,1800
29,Rapid,C24_ceiling,1800
30,Slow,AUC_match,600
30,Slow,C24_match,200
30,Slow,C24_ceiling,250
30,Intermediate,AUC_match,1100
30,Intermediate,C24_match,450
30,Intermediate,C24_ceiling,1800
30,Rapid,AUC_match,1450
30,Rapid,C24_match,1000
30,Rapid,C24_ceiling,1800
31,Slow,AUC_match,750
31,Slow,C24_match,200
31,Slow,C24_ceiling,650
31,Intermediate,AUC_match,1200
31,Intermediate,C24_match,1100
31,Intermediate,C24_ceiling,1800
31,Rapid,AUC_match,1500
31,Rapid,C24_match,1800
31,Rapid,C24_ceiling,1800
32,Slow,AUC_match,600
32,Slow,C24_match,200
32,Slow,C24_ceiling,300
32,Intermediate,AUC_match,1350
32,Intermediate,C24_match,1800
32,Intermediate,C24_ceiling,1800
32,Rapid,AUC_match,1800
32,Rapid,C24_match,1800
32,Rapid,C24_ceiling,1800
33,Slow,AUC_match,600
33,Slow,C24_match,200
33,Slow,C24_ceiling,350
33,Intermediate,AUC_match,1150
33,Intermediate,C24_match,1800
33,Intermediate,C24_ceiling,1800
33,Rapid,AUC_match,1800
33,Rapid,C24_match,1800
33,Rapid,C24_ceiling,1800
34,Slow,AUC_match,1800
34,Slow,C24_match,300
34,Slow,C24_ceiling,1800
34,Intermediate,AUC_match,1800
34,Intermediate,C24_match,450
34,Intermediate,C24_ceiling,1800
34,Rapid,AUC_match,1800
34,Rapid,C24_match,600
34,Rapid,C24_ceiling,1800
35,Slow,AUC_match,600
35,Slow,C24_match,200
35,Slow,C24_ceiling,250
35,Intermediate,AUC_match,1200
35,Intermediate,C24_match,650
35,Intermediate,C24_ceiling,1800
35,Rapid,AUC_match,1100
35,Rapid,C24_match,500
35,Rapid,C24_ceiling,1800
36,Slow,AUC_match,850
36,Slow,C24_match,200
