Phenotype,Dose_mg,AUC_med,AUC_q1,AUC_q3,C24_med,C24_q1,C24_q3,pct_in_auc_target,pct_in_c24_target,pct_in_dual_target,pct_supra
Slow,200,15.325777777777777,10.020000000000001,20.922877777777778,0.045111111111111116,0.022444444444444447,0.07393333333333332,8.15,13.100000000000001,0.0,0.0
Slow,250,19.15722222222222,12.525000000000002,26.153597222222224,0.0563888888888889,0.028055555555555556,0.09241666666666666,32.9,6.2,0.0,2.5
Slow,300,22.988666666666667,15.030000000000001,31.38431666666667,0.06766666666666668,0.03366666666666667,0.11089999999999998,49.75,4.65,0.0,7.1
Slow,350,26.82011111111111,17.535000000000004,36.61503611111112,0.07894444444444446,0.03927777777777778,0.12938333333333332,61.3,4.65,2.0,15.9
Slow,400,30.651555555555554,20.040000000000003,41.845755555555556,0.09022222222222223,0.044888888888888895,0.14786666666666665,61.25000000000001,2.0,2.0,21.0
Slow,450,34.483,22.545,47.076475,0.1015,0.0505,0.16635,56.89999999999999,0.0,0.0,33.550000000000004
Slow,500,38.31444444444444,25.050000000000004,52.30719444444445,0.1127777777777778,0.05611111111111111,0.18483333333333332,48.1,0.0,0.0,39.1
Slow,550,42.145888888888884,27.555000000000003,57.537913888888895,0.12405555555555557,0.06172222222222223,0.20331666666666665,49.2,0.0,0.0,41.5
Slow,600,45.977333333333334,30.060000000000002,62.76863333333334,0.13533333333333336,0.06733333333333334,0.22179999999999997,47.099999999999994,0.0,0.0,46.5
Slow,650,49.80877777777778,32.565000000000005,67.99935277777779,0.14661111111111114,0.07294444444444445,0.24028333333333332,43.75,0.0,0.0,48.25
Slow,700,53.64022222222222,35.07000000000001,73.23007222222223,0.1578888888888889,0.07855555555555556,0.25876666666666664,43.55,0.0,0.0,57.8
Slow,750,57.471666666666664,37.575,78.46079166666667,0.1691666666666667,0.08416666666666667,0.27725,36.449999999999996,0.0,0.0,57.8
Slow,800,61.30311111111111,40.080000000000005,83.69151111111111,0.18044444444444446,0.08977777777777779,0.2957333333333333,32.6,0.0,0.0,59.95
Slow,850,65.13455555555555,42.58500000000001,88.92223055555556,0.19172222222222224,0.0953888888888889,0.31421666666666664,32.6,0.0,0.0,59.95
Slow,900,68.966,45.09,94.15295,0.203,0.101,0.3327,32.6,0.0,0.0,65.14999999999999
Slow,950,72.79744444444444,47.595000000000006,99.38366944444445,0.21427777777777782,0.10661111111111111,0.3511833333333333,30.099999999999998,1.7500000000000002,1.7500000000000002,67.4
Slow,1000,76.62888888888888,50.10000000000001,104.6143888888889,0.2255555555555556,0.11222222222222222,0.36966666666666664,27.6,1.7500000000000002,1.7500000000000002,67.4
Slow,1050,80.46033333333332,52.605000000000004,109.84510833333334,0.23683333333333337,0.11783333333333335,0.38814999999999994,22.2,1.7500000000000002,1.7500000000000002,69.89999999999999
Slow,1100,84.29177777777777,55.11000000000001,115.07582777777779,0.24811111111111114,0.12344444444444445,0.4066333333333333,19.35,1.7500000000000002,1.7500000000000002,74.7
Slow,1150,88.12322222222222,57.61500000000001,120.30654722222224,0.25938888888888895,0.12905555555555556,0.42511666666666664,16.7,1.7500000000000002,1.7500000000000002,74.7
Slow,1200,91.95466666666667,60.120000000000005,125.53726666666668,0.2706666666666667,0.13466666666666668,0.44359999999999994,10.9,1.7500000000000002,1.7500000000000002,74.7
Slow,1250,95.78611111111111,62.62500000000001,130.76798611111113,0.2819444444444445,0.14027777777777778,0.4620833333333333,8.75,1.7500000000000002,1.7500000000000002,74.7
Slow,1300,99.61755555555555,65.13000000000001,135.99870555555557,0.2932222222222223,0.1458888888888889,0.48056666666666664,11.0,1.7500000000000002,1.7500000000000002,74.7
Slow,1350,103.449,67.635,141.22942500000002,0.30450000000000005,0.1515,0.49904999999999994,6.5,1.7500000000000002,1.7500000000000002,77.55
Slow,1400,107.28044444444444,70.14000000000001,146.46014444444447,0.3157777777777778,0.15711111111111112,0.5175333333333333,6.5,1.7500000000000002,1.7500000000000002,80.5
Slow,1450,111.11188888888888,72.64500000000001,151.69086388888888,0.3270555555555556,0.16272222222222224,0.5360166666666666,6.5,1.7500000000000002,1.7500000000000002,80.5
Slow,1500,114.94333333333333,75.15,156.92158333333333,0.3383333333333334,0.16833333333333333,0.5545,2.25,1.7500000000000002,0.0,80.5
Slow,1550,118.77477777777777,77.65500000000002,162.15230277777778,0.34961111111111115,0.17394444444444446,0.5729833333333333,2.25,1.7500000000000002,0.0,80.5
Slow,1600,122.60622222222221,80.16000000000001,167.38302222222222,0.3608888888888889,0.17955555555555558,0.5914666666666666,2.25,1.7500000000000002,0.0,80.5
Slow,1650,126.43766666666666,82.665,172.61374166666667,0.3721666666666667,0.18516666666666667,0.60995,2.25,1.7500000000000002,0.0,80.5
Slow,1700,130.2691111111111,85.17000000000002,177.84446111111112,0.3834444444444445,0.1907777777777778,0.6284333333333333,2.25,1.7500000000000002,0.0,82.65
Slow,1750,134.10055555555556,87.67500000000001,183.07518055555556,0.39472222222222225,0.1963888888888889,0.6469166666666666,2.25,1.7500000000000002,0.0,87.0
Slow,1800,137.932,90.18,188.3059,0.406,0.202,0.6654,2.25,0.0,0.0,87.0
Intermediate,200,8.85817777777778,5.5086666666666675,12.271766666666666,0.003288888888888889,0.0022222222222222222,0.004777777777777777,2.55,4.7,0.0,0.0
Intermediate,250,11.072722222222223,6.885833333333334,15.339708333333332,0.0041111111111111105,0.002777777777777778,0.005972222222222222,7.3,7.3,0.0,0.0
Intermediate,300,13.287266666666667,8.263000000000002,18.407649999999997,0.004933333333333333,0.0033333333333333335,0.007166666666666666,12.25,12.2,4.9,0.0
Intermediate,350,15.501811111111113,9.640166666666667,21.475591666666666,0.005755555555555555,0.003888888888888889,0.008361111111111109,16.900000000000002,7.5,4.9,2.3
Intermediate,400,17.71635555555556,11.017333333333335,24.543533333333333,0.006577777777777778,0.0044444444444444444,0.009555555555555553,23.9,9.6,9.6,2.3
Intermediate,450,19.9309,12.3945,27.611475,0.0073999999999999995,0.005,0.01075,28.000000000000004,11.1,7.1499999999999995,2.3
Intermediate,500,22.145444444444447,13.771666666666668,30.679416666666665,0.008222222222222221,0.005555555555555556,0.011944444444444443,34.8,15.4,9.25,2.3
Intermediate,550,24.359988888888893,15.148833333333336,33.74735833333333,0.009044444444444443,0.006111111111111111,0.013138888888888887,43.05,27.200000000000003,13.4,2.3
Intermediate,600,26.574533333333335,16.526000000000003,36.81529999999999,0.009866666666666666,0.006666666666666667,0.014333333333333332,52.0,26.650000000000002,19.900000000000002,2.3
Intermediate,650,28.78907777777778,17.903166666666667,39.88324166666666,0.010688888888888888,0.007222222222222223,0.015527777777777776,49.35,33.7,22.45,2.3
Intermediate,700,31.003622222222226,19.280333333333335,42.95118333333333,0.01151111111111111,0.007777777777777778,0.016722222222222218,51.300000000000004,36.25,24.65,4.9
Intermediate,750,33.21816666666667,20.657500000000002,46.019124999999995,0.012333333333333333,0.008333333333333333,0.017916666666666664,49.25,42.25,26.85,4.9
Intermediate,800,35.43271111111112,22.03466666666667,49.087066666666665,0.013155555555555556,0.008888888888888889,0.019111111111111106,53.15,49.0,33.5,6.800000000000001
Intermediate,850,37.64725555555556,23.411833333333337,52.15500833333333,0.013977777777777776,0.009444444444444445,0.020305555555555552,43.6,47.5,27.150000000000002,6.800000000000001
Intermediate,900,39.8618,24.789,55.22295,0.014799999999999999,0.01,0.0215,48.9,49.55,27.150000000000002,6.800000000000001
Intermediate,950,42.07634444444445,26.16616666666667,58.29089166666666,0.015622222222222221,0.010555555555555556,0.02269444444444444,44.25,68.0,31.25,6.800000000000001
Intermediate,1000,44.290888888888894,27.543333333333337,61.35883333333333,0.016444444444444442,0.011111111111111112,0.023888888888888887,45.050000000000004,63.0,33.95,6.800000000000001
Intermediate,1050,46.505433333333336,28.920500000000004,64.42677499999999,0.017266666666666666,0.011666666666666667,0.02508333333333333,42.85,53.55,28.9,6.800000000000001
Intermediate,1100,48.719977777777785,30.29766666666667,67.49471666666666,0.018088888888888887,0.012222222222222223,0.026277777777777775,36.199999999999996,51.65,24.95,6.800000000000001
Intermediate,1150,50.93452222222223,31.674833333333336,70.56265833333333,0.01891111111111111,0.012777777777777779,0.027472222222222217,36.199999999999996,51.65,24.95,6.800000000000001
Intermediate,1200,53.14906666666667,33.05200000000001,73.63059999999999,0.019733333333333332,0.013333333333333334,0.028666666666666663,29.7,51.65,22.35,6.800000000000001
Intermediate,1250,55.36361111111112,34.42916666666667,76.69854166666666,0.020555555555555556,0.01388888888888889,0.029861111111111106,29.25,44.6,17.599999999999998,6.800000000000001
Intermediate,1300,57.57815555555556,35.806333333333335,79.76648333333333,0.021377777777777777,0.014444444444444446,0.03105555555555555,31.8,44.6,20.150000000000002,9.5
Intermediate,1350,59.7927,37.1835,82.834425,0.022199999999999998,0.015000000000000001,0.032249999999999994,34.150000000000006,42.05,20.150000000000002,9.5
Intermediate,1400,62.00724444444445,38.56066666666667,85.90236666666667,0.02302222222222222,0.015555555555555557,0.033444444444444436,31.85,42.05,20.150000000000002,9.5
Intermediate,1450,64.2217888888889,39.93783333333334,88.97030833333332,0.023844444444444442,0.01611111111111111,0.034638888888888886,29.5,36.05,15.7,9.5
Intermediate,1500,66.43633333333334,41.315000000000005,92.03824999999999,0.024666666666666667,0.016666666666666666,0.03583333333333333,27.3,29.45,13.600000000000001,9.5
Intermediate,1550,68.65087777777778,42.69216666666667,95.10619166666666,0.025488888888888887,0.017222222222222222,0.03702777777777777,27.3,27.200000000000003,13.600000000000001,9.5
Intermediate,1600,70.86542222222224,44.06933333333334,98.17413333333333,0.02631111111111111,0.017777777777777778,0.03822222222222221,27.3,27.200000000000003,13.600000000000001,9.5
