Phenotype,AUC_match_dose_mg,AUC_med,C24_med,pct_in_auc_target,pct_supra,C24_match_dose_mg,pct_in_c24_target,Ceiling_dose_mg,pct_supra_at_ceiling
Slow,650,38.420166204396466,0.10885512117803754,79.95,35.099999999999994,200,19.650000000000002,350,12.7
Intermediate,1200,38.732119399132245,0.024866815229509093,74.05000000000001,1.7999999999999998,700,34.35,1800,4.35
Rapid,1600,39.64387581375648,0.01707691180683727,72.1,0.3,1400,34.8,1800,0.35000000000000003
