Phenotype,AUC_match_dose_mg,AUC_med,C24_med,pct_in_auc_target,pct_supra,C24_match_dose_mg,pct_in_c24_target,Ceiling_dose_mg,pct_supra_at_ceiling
Slow,600,38.23862752271104,0.0979648728998007,74.8,29.7,200,29.099999999999998,450,13.750000000000002
Intermediate,950,38.52179428881719,0.025680644302437244,68.89999999999999,0.65,650,39.65,1650,14.399999999999999
Rapid,1300,40.326377792587664,0.015046281741668967,63.7,0.15,1300,42.75,1800,0.75
