Phenotype,AUC_match_dose_mg,AUC_med,C24_med,pct_in_auc_target,pct_supra,C24_match_dose_mg,pct_in_c24_target,Ceiling_dose_mg,pct_supra_at_ceiling
Slow,500,38.31444444444444,0.1127777777777778,48.1,39.1,200,13.100000000000001,300,7.1
Intermediate,900,39.8618,0.014799999999999999,48.9,6.800000000000001,900,49.55,1800,9.5
Rapid,1800,36.498,0.02,33.050000000000004,0.0,1300,74.05000000000001,1800,0.0
