"Phenotype","Dosing","N","AUC24_med_IQR","Cmax_med_IQR","C24_med_IQR","pct_C24_supra"
"Slow","Genotype-guided",43,"17.10 (13.62-19.55)","3.29 (2.80-3.64)","0.04 (0.02-0.06)","2.3%"
"Slow","Flat 900 mg",42,"68.93 (55.08-78.06)","10.13 (8.56-11.20)","0.22 (0.11-0.32)","66.7%"
"Intermediate","Genotype-guided",45,"35.00 (28.89-41.78)","9.50 (7.84-10.71)","0.02 (0.01-0.03)","4.4%"
"Intermediate","Flat 900 mg",45,"35.00 (28.89-41.78)","9.50 (7.84-10.71)","0.02 (0.01-0.03)","4.4%"
"Rapid","Genotype-guided",16,"49.24 (44.64-56.94)","15.09 (12.94-17.10)","0.02 (0.02-0.02)","0.0%"
"Rapid","Flat 900 mg",16,"23.51 (21.65-27.14)","8.78 (7.55-9.92)","0.01 (0.01-0.01)","0.0%"
